OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
1,4190,Abenab, , , ,intrusion or complex, ,Namibia,Otjozondjupa,-19.2643,18.1, ,carbonatite with residual enrichment, , ,"V, Pb, Zn, Cu, REE", , , ,0.64-2.22% TREE,Occurrence(?), ,,,clay,,,,,"carbonatite, clay",,,,AVZ Minerals Ltd.,"Vanadium mineralization in quartz-dolomite and sandstone-limestone breccias is present in the area, including the historic Abenab mine.",Avonlea Minerals Ltd. (2011); SNL Metals & Mining (2015),,,underground,No production,,,,,,,,,,,,,,,,,,,,,Africa
2,4050,Abu Khruq,Gabal Abu Khruq, , ,intrusion or complex, ,Egypt,Al Bahr al Ahmar,24.6486,34.2713,Estimated location.,alkaline igneous, , ,"Nb, Ta, Zr, Hf, Be, REE, U, Th", , , , ,Occurrence, ,"parisite, bastnäsite","ilmenite, apatite, zircon, pyrochlore, fluorite, Nb-bearing rutile","nepheline, cancrinite, calcite, analcime, natrolite, sodalite",Cenozoic(?),,Cenozoic(?),,moderately to strongly hematized nepheline syenite,,Cretaceous Nubian Sandstone,"hydrothermal, hematization, albitization, cancrinitization, carbonatization",,REE mineralization restricted to hematized nepheline syenite; grade is highest in the moderately hematized rock followed by the strongly hematized syenite.,Abdalla (2006); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
3,4052,Abu Tartar,"Abu Tartour, Abu Tartor, Abu Tartur", , ,site,active P mine,Egypt,Al Wadi al Jadid,25.4069,30.0667, ,phosphorite, , ,"P, REE", , ,8.4,519–1139 ppm (ave. 879),Occurrence, ,,"carbonate-rich fluorapatite, carbonate-rich apatite (collophane), wavellite, pyrite, marcasite, Mn-bearing apatite","calcite, dolomite, quartz, gypsum, glauconite, montmorillonite, kaolinite, ankerite, Fe-oxides",Upper Cretaceous: Campanian–Maastrichtian,,Upper Cretaceous: Campanian–Maastrichtian,,"phosphorite, mudstone, sandstone",Duwi Formation,,,,This is the largest phosphate mine in Egypt; REE is potential byproduct.,Ahmed (2003); Awadalla (2010); British Sulphur Corp. Ltd. (1987); de Kun (1987); Hussein and El Sharkawi (1990); Industrial Minerals (1995); Schröter (1989),,,underground— long-wall retreating technique; surface mine,No production,,,,,,,,,,,,,,,,,,,,,Africa
4,4126,Adiounedj, , , ,intrusion or complex, ,Mali,Kidal,20.183,0.067, ,carbonatite, , ,REE, , , , ,Occurrence, ,synchysite,"fluorite, titanite, apatite, barite, pyrochlore","quartz, calcite, Fe-oxides, cancrinite, sodalite, aegirine-augite, calcite",Permian(?),,,,"fenite, rodbergite, syenite, carbonatite",,,,,"Hydrothermal synchysite found in fluorite, calcite, and quartz.",Liégeois and others (1991); Sauvage and Savard (1985); Wall and Mariano (1996); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
5,4191,Agate Mountain, , , ,intrusion or complex, ,Namibia,Kunene,-18.4507,12.0809,Estimated location.,carbonatite, , ,"REE, Mn", , , , ,Occurrence, ,bastnäsite,fluorite,,Post–Lower Cretaceous,,,,"beforsitic carbonatite, breccia, fenite",,,,,Carbonatite contains irregular patches of bastnäsite.,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
6,4135,Aghracha, ,"includes Awhifrite, Lacharyit sectors", ,intrusion or complex, ,Morocco,Oued ed Dahab-Lagouira,23.1913,-14.7322,This part of Morocco is in dispute with Western Sahara. ,carbonatite,carbonatite dikes and epidotized pegmatites, ,"U, Th, REE", , , , ,Showing, ,monazite,carnotite,,,,,,magnetite carbonatite,,orthogneiss,,,Occurrence is associated with uraniferous calcrete in the Aghracha paleochannel and some alluvial placers with U and REE.,Morocco ONHYM (2015a),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
7,4034,Akongo, , , ,intrusion or complex, ,Cameroon,Centre,3.6,11.7, ,alkaline igneous with residual enrichment; supergene, ,laterite,REE, , , , ,Occurrence, ,"florencite, rhabdophane, zircon, titanite, allanite, apatite, cerianite-(Ce)","hematite, magnetite","kaolinite, halloysite, goethite, microcline",,,,,"laterite, saprolite, ferricrete",,Neoproterozoic alkaline syenite,,,Laterite developed over syenite; allanite is main REE mineral in source syenite along with apatite and titanite; allanite and other primary REE minerals tend to be partially preserved only in lower parts of weathering profile; florencite and rhabdophane a,Braun and others (1990); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
8,4136,Al Farnan,Gleyb Al Farnan, , ,intrusion or complex, ,Morocco,Oued ed Dahab-Lagouira,22.2067,-14.8457,This part of Morocco is in dispute with Western Sahara. ,carbonatite, , ,"Nb, REE, Ta, U", , , , ,Occurrence, ,,iron oxide,,,,,,"dolomitic carbonatite, iron oxide breccia",,Proterozoic gneiss,,,Related to Glibat Lafhouda carbonatite mineralization.,"Morocco ONHYM (2011, 2015b)",,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
9,4144,Alto Ligonha, ,"includes Boa Esperanca, Enluma I, Guilherme, Jlodo, Marropino, Morrua, others", ,district or area,pegmatite field,Mozambique,Zambézia,-15.75,38.167,Estimated location.,other igneous deposit,pegmatite,pegmatite,"Ta, Nb, GEM, Be, Li, REE, U, Th", , , ,~1.7% monazite in HM,Deposit, ,"euxenite-(Y), monazite, fergusonite, samarskite, polycrase-(Y), pyrochlore, xenotime, rhabdophane","columbite, tantalite, pollucite, tourmaline, beryl (aquamarine), garnet, beryl, ilmenite, microlite","quartz, feldspar, kaolinite, mica",,440-480 Ma (U-Pb),,,,,,,,There are at least 2 generations of pegmatites in this district in 12 pegmatite fields.,Cílek (1989); Eberle and others (2012); Melcher and others (2015); Coakley and others (1991),,,,Past producer,,,,Past production of euxenite-(Y) and monazite concentrates.,,,,,,,,,,,,,,,,,Africa
10,4086,Ambaliha, , ,TRE project,site, ,Madagascar,Antsiranana,-13.7682,48.1716, ,alkaline igneous with residual enrichment(?),"argillaceous laterite, ion adsorption", ,"REE, Ta, Nb, Zr", , , , ,Occurrence, ,"synchysite-(Ce), parisite-(Ce), monazite, gagarinite, pyrochlore, bastnäsite, xenotime","pyrochlore, zircon, columbite, baddeleyite, fluorite, microlite",,Oligocene–Miocene,,Oligocene–Miocene,23-24 Ma,"weathered eudialyte granite, granite, skarn",Ambohimirahavavy alkaline complex,,,Tantalus Rare Earths AG (TRE),,Estrade and others (2014); Gilbertson and others (2011); Pittuck (2013),,"10,000 m of planned diamond drilling initiated by TRE in 2010.",,No production,,,,,,,,,,,,,,,,,,,,,Africa
