OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,Status,Stat_Note,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region,has_REE,lat_z,lon_z,region_Africa,region_Antarctica,region_China,region_East Asia,region_Europe,region_Middle East,region_North America,region_Oceania,region_Russian Federation,region_South America,region_South and Central Asia,is_composite_system,is_part_of_complex,rec_type_district or area,rec_type_district or area(?),rec_type_intrusion or complex,rec_type_intrusion or complex(?),rec_type_site,rec_type_site(?),system_class,system_alkaline_intrusive,system_carbonatite,system_clay_laterite,system_hydrothermal,system_other,system_pegmatite,system_placer,system_skarn,system_vein,dep_form_ ,"dep_form_banded or laminated, disseminated, massive","dep_form_banded or laminated, lens, stockwork","dep_form_banded or laminated, lens, veinlet","dep_form_banded or laminated, massive",dep_form_bedded or layered,"dep_form_bedded, disseminated, banded",dep_form_bedded; pelletal; bioclasts,dep_form_breccia,"dep_form_breccia pipes, nests, veins","dep_form_breccia, concretions","dep_form_breccia, massive, layered, dikes, veins",dep_form_brecciated,dep_form_dike,"dep_form_dike, disseminated, stockwork","dep_form_dike, lens","dep_form_dike, vein","dep_form_dike, vein, lens","dep_form_dike, veins",dep_form_dike-shaped body,dep_form_dikes,dep_form_dikes and plugs,dep_form_dikes or sills,"dep_form_dikes, breccia, blanket-shaped bodies","dep_form_dikes, plugs, breccia","dep_form_dikes, sills","dep_form_dikes, vein","dep_form_dikes, veins, cement, breccia fillings","dep_form_dikes, veins, sills, tock-like bodies","dep_form_dikes, veins, veinlets",dep_form_disseminated,"dep_form_disseminated, dikes","dep_form_disseminated, layers","dep_form_disseminated, stratabound","dep_form_disseminated, vein","dep_form_disseminated, veins","dep_form_disseminated, veins, lenses",dep_form_laterite,dep_form_layer,"dep_form_layer, banded, disseminated",dep_form_lens,dep_form_lens or lensoid,"dep_form_lens or lensoid, vein, veinlet, breccia","dep_form_lens, dike","dep_form_lens, dikes, pegmatite","dep_form_lens, dikes, pegmatites","dep_form_lens, disseminated","dep_form_lens, vein","dep_form_lens, vein, nodules",dep_form_lenticular,"dep_form_mantle-shaped, veins",dep_form_massive,dep_form_massive layers or bands,"dep_form_massive, breccia","dep_form_massive, lens, vein","dep_form_massive, oolitic, breccia","dep_form_massive, vein","dep_form_massive, vein, veinlet","dep_form_nest, lens, vein, disseminated","dep_form_nests, veinlets",dep_form_nodular,dep_form_pegmatite,dep_form_pegmatite dikes,dep_form_pegmatite(?),"dep_form_pegmatite, disseminated","dep_form_pegmatite, other","dep_form_pegmatite, stockwork, vein",dep_form_pegmatites,"dep_form_pegmatites, disseminated","dep_form_pegmatites, veins","dep_form_pegmatitic, sill, vein, stockwork","dep_form_plug, dike","dep_form_seams, dikes",dep_form_sheets,dep_form_sill,"dep_form_stock, breccia, dikes, sills",dep_form_stockwork,"dep_form_stockwork, stratiform","dep_form_stockwork, vein","dep_form_stockwork, veins",dep_form_stratabound,dep_form_stratiform,"dep_form_stratiform oolitic, massive","dep_form_stratiform, lensoid","dep_form_stratiform, nodular, pebbles","dep_form_stratiform, oolitic","dep_form_stratiform, pelletal to massive","dep_form_stratiform, pelletal, nodular","dep_form_stratiform, roll, lenticular, tabular","dep_form_stratiform, veinlets, disseminations",dep_form_stratiform; lenses and nodules,dep_form_tabular,"dep_form_tabular, roll-shape",dep_form_unknown,dep_form_vein,"dep_form_vein, dike","dep_form_vein, dikes, lenses","dep_form_vein, lens, stockwork, dike","dep_form_vein, stockwork","dep_form_vein, stockwork, breccia, massive","dep_form_vein, stockwork, dike","dep_form_vein, stockwork, mineralized cupolas","dep_form_vein, veinlets",dep_form_vein-shaped,dep_form_veinlets,"dep_form_veinlets, disseminations",dep_form_veins,"dep_form_veins, dikes","dep_form_veins, lens","dep_form_veins, lenses","dep_form_veins, loads","dep_form_veins, nests","dep_form_veins, other(?)","dep_form_veins, pegmatite","dep_form_veins, pegmatites","dep_form_veins, pegmatites, dikes","dep_form_veins, stockwork","dep_form_veins, veinlets, stockworks",has_Nb,has_Ta,has_Th,has_U,has_P,has_F,has_Zr,commodity_count,is_producing,is_prospect,is_occurrence_only
1,4190,Abenab, , , ,intrusion or complex, ,Namibia,Otjozondjupa,-19.2643,18.1, ,carbonatite with residual enrichment, , ,"V, Pb, Zn, Cu, REE",Occurrence(?), ,clay,,,,,"carbonatite, clay",,,,AVZ Minerals Ltd.,"Vanadium mineralization in quartz-dolomite and sandstone-limestone breccias is present in the area, including the historic Abenab mine.",Avonlea Minerals Ltd. (2011); SNL Metals & Mining (2015),,,underground,No production,,,,,,,,,,,,,,,,,,,,,Africa,0,-1.1719215400157954,-0.32622620015494935,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,carbonatite,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,1
2,4050,Abu Khruq,Gabal Abu Khruq, , ,intrusion or complex, ,Egypt,Al Bahr al Ahmar,24.6486,34.2713,Estimated location.,alkaline igneous, , ,"Nb, Ta, Zr, Hf, Be, REE, U, Th",Occurrence, ,"nepheline, cancrinite, calcite, analcime, natrolite, sodalite",Cenozoic(?),,Cenozoic(?),,moderately to strongly hematized nepheline syenite,,Cretaceous Nubian Sandstone,"hydrothermal, hematization, albitization, cancrinitization, carbonatization",,REE mineralization restricted to hematized nepheline syenite; grade is highest in the moderately hematized rock followed by the strongly hematized syenite.,Abdalla (2006); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,1,0.12778920084028716,-0.12564783855683848,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,alkaline_intrusive,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,1,5,1,0,1
3,4052,Abu Tartar,"Abu Tartour, Abu Tartor, Abu Tartur", , ,site,active P mine,Egypt,Al Wadi al Jadid,25.4069,30.0667, ,phosphorite, , ,"P, REE",Occurrence, ,"calcite, dolomite, quartz, gypsum, glauconite, montmorillonite, kaolinite, ankerite, Fe-oxides",Upper Cretaceous: Campanian–Maastrichtian,,Upper Cretaceous: Campanian–Maastrichtian,,"phosphorite, mudstone, sandstone",Duwi Formation,,,,This is the largest phosphate mine in Egypt; REE is potential byproduct.,Ahmed (2003); Awadalla (2010); British Sulphur Corp. Ltd. (1987); de Kun (1987); Hussein and El Sharkawi (1990); Industrial Minerals (1995); Schröter (1989),,,underground— long-wall retreating technique; surface mine,No production,,,,,,,,,,,,,,,,,,,,,Africa,0,0.1502329623498019,-0.177798981580307,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,True,False,other,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,1,1,0,1
4,4126,Adiounedj, , , ,intrusion or complex, ,Mali,Kidal,20.183,0.067, ,carbonatite, , ,REE,Occurrence, ,"quartz, calcite, Fe-oxides, cancrinite, sodalite, aegirine-augite, calcite",Permian(?),,,,"fenite, rodbergite, syenite, carbonatite",,,,,"Hydrothermal synchysite found in fluorite, calcite, and quartz.",Liégeois and others (1991); Sauvage and Savard (1985); Wall and Mariano (1996); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,1,-0.004381261241855467,-0.5498958862468983,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,carbonatite,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,1
5,4191,Agate Mountain, , , ,intrusion or complex, ,Namibia,Kunene,-18.4507,12.0809,Estimated location.,carbonatite, , ,"REE, Mn",Occurrence, ,,Post–Lower Cretaceous,,,,"beforsitic carbonatite, breccia, fenite",,,,,Carbonatite contains irregular patches of bastnäsite.,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,1,-1.14784103841466,-0.40088322935453075,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,carbonatite,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,1
6,4135,Aghracha, ,"includes Awhifrite, Lacharyit sectors", ,intrusion or complex, ,Morocco,Oued ed Dahab-Lagouira,23.1913,-14.7322,This part of Morocco is in dispute with Western Sahara. ,carbonatite,carbonatite dikes and epidotized pegmatites, ,"U, Th, REE",Showing, ,,,,,,magnetite carbonatite,,orthogneiss,,,Occurrence is associated with uraniferous calcrete in the Aghracha paleochannel and some alluvial placers with U and REE.,Morocco ONHYM (2015a),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,1,0.08465680779292366,-0.7334556055621522,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,carbonatite,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,1,1,0,0,0,2,1,0,0
7,4034,Akongo, , , ,intrusion or complex, ,Cameroon,Centre,3.6,11.7, ,alkaline igneous with residual enrichment; supergene, ,laterite,REE,Occurrence, ,"kaolinite, halloysite, goethite, microcline",,,,,"laterite, saprolite, ferricrete",,Neoproterozoic alkaline syenite,,,Laterite developed over syenite; allanite is main REE mineral in source syenite along with apatite and titanite; allanite and other primary REE minerals tend to be partially preserved only in lower parts of weathering profile; florencite and rhabdophane a,Braun and others (1990); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,1,-0.4951961064380602,-0.40560766696515693,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,alkaline_intrusive,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,1
8,4136,Al Farnan,Gleyb Al Farnan, , ,intrusion or complex, ,Morocco,Oued ed Dahab-Lagouira,22.2067,-14.8457,This part of Morocco is in dispute with Western Sahara. ,carbonatite, , ,"Nb, REE, Ta, U",Occurrence, ,,,,,,"dolomitic carbonatite, iron oxide breccia",,Proterozoic gneiss,,,Related to Glibat Lafhouda carbonatite mineralization.,"Morocco ONHYM (2011, 2015b)",,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0,0.05551513881986801,-0.7348633862626145,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,carbonatite,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,3,1,0,1
9,4144,Alto Ligonha, ,"includes Boa Esperanca, Enluma I, Guilherme, Jlodo, Marropino, Morrua, others", ,district or area,pegmatite field,Mozambique,Zambézia,-15.75,38.167,Estimated location.,other igneous deposit,pegmatite,pegmatite,"Ta, Nb, GEM, Be, Li, REE, U, Th",Deposit, ,"quartz, feldspar, kaolinite, mica",,440-480 Ma (U-Pb),,,,,,,,There are at least 2 generations of pegmatites in this district in 12 pegmatite fields.,Cílek (1989); Eberle and others (2012); Melcher and others (2015); Coakley and others (1991),,,,Past producer,,,,Past production of euxenite-(Y) and monazite concentrates.,,,,,,,,,,,,,,,,,Africa,1,-1.0679071511553349,-0.07732809164238126,True,False,False,False,False,False,False,False,False,False,False,1,1,True,False,False,False,False,False,pegmatite,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,0,4,1,0,0
10,4086,Ambaliha, , ,TRE project,site, ,Madagascar,Antsiranana,-13.7682,48.1716, ,alkaline igneous with residual enrichment(?),"argillaceous laterite, ion adsorption", ,"REE, Ta, Nb, Zr",Occurrence, ,,Oligocene–Miocene,,Oligocene–Miocene,23-24 Ma,"weathered eudialyte granite, granite, skarn",Ambohimirahavavy alkaline complex,,,Tantalus Rare Earths AG (TRE),,Estrade and others (2014); Gilbertson and others (2011); Pittuck (2013),,"10,000 m of planned diamond drilling initiated by TRE in 2010.",,No production,,,,,,,,,,,,,,,,,,,,,Africa,1,-1.0092508850870816,0.04676250567783791,True,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,True,False,alkaline_intrusive,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,1,3,1,0,1
